ZIP Code,Duration Buyers,city,state_id,,Zip Code,CPL Payouts,city,state_id,,,Zip Code,Duraiton no GMB allowed,city,state_id
98024,$26.78,Fall City,WA,,85269,$43.50,Fountain Hills,AZ,,,77042,$19.80,Houston,TX
98029,$26.78,Issaquah,WA,,85271,$43.50,Fountain Hills,AZ,,,77043,$19.80,Houston,TX
98034,$26.78,Kirkland,WA,,85274,$43.50,Fountain Hills,AZ,,,77055,$19.80,Houston,TX
98037,$26.78,Lynnwood,WA,,85275,$43.50,Fountain Hills,AZ,,,77056,$19.80,Houston,TX
98040,$26.78,Mercer Island,WA,,85277,$43.50,Fountain Hills,AZ,,,77057,$19.80,Houston,TX
98055,$26.78,Renton,WA,,85280,$43.50,Fountain Hills,AZ,,,77063,$19.80,Houston,TX
98059,$26.78,Renton,WA,,85281,$43.50,Tempe,AZ,,,77064,$19.80,Houston,TX
98065,$26.78,Snoqualmie,WA,,85282,$43.50,Tempe,AZ,,,77080,$19.80,Houston,TX
98072,$26.78,Woodinville,WA,,85283,$43.50,Tempe,AZ,,,77092,$19.80,Houston,TX
98074,$26.78,Sammamish,WA,,85284,$43.50,Tempe,AZ,,,77022,$19.80,Houston,TX
98109,$26.78,Seattle,WA,,85285,$43.50,Tempe,AZ,,,77037,$19.80,Houston,TX
98122,$26.78,Seattle,WA,,85286,$43.50,Chandler,AZ,,,77038,$19.80,Houston,TX
98144,$26.78,Seattle,WA,,85287,$43.50,Chandler,AZ,,,77076,$19.80,Houston,TX
98168,$26.78,Seattle,WA,,85295,$43.50,Gilbert,AZ,,,77086,$19.80,Houston,TX
98198,$26.78,Seattle,WA,,85296,$43.50,Gilbert,AZ,,,77088,$19.80,Houston,TX
98199,$26.78,Seattle,WA,,85297,$43.50,Gilbert,AZ,,,77091,$19.80,Houston,TX
98662,$26.78,Vancouver,WA,,85298,$43.50,Gilbert,AZ,,,77014,$19.80,Houston,TX
98682,$26.78,Vancouver,WA,,85299,$43.50,Gilbert,AZ,,,77066,$19.80,Houston,TX
98011,$26.42,Bothell,WA,,85301,$43.50,Glendale,AZ,,,77067,$19.80,Houston,TX
78073,$26.15,Von Ormy,TX,,85302,$43.50,Glendale,AZ,,,77011,$19.80,Houston,TX
78108,$26.15,Cibolo,TX,,85303,$43.50,Glendale,AZ,,,77012,$19.80,Houston,TX
78124,$26.15,Marion,TX,,85304,$43.50,Glendale,AZ,,,77013,$19.80,Houston,TX
78132,$26.15,New Braunfels,TX,,85305,$43.50,Glendale,AZ,,,77016,$19.80,Houston,TX
78133,$26.15,Canyon Lake,TX,,85306,$43.50,Glendale,AZ,,,77017,$19.80,Houston,TX
78154,$26.15,Schertz,TX,,85307,$43.50,Glendale,AZ,,,77020,$19.80,Houston,TX
78155,$26.15,Seguin,TX,,85308,$43.50,Glendale,AZ,,,77023,$19.80,Houston,TX
78202,$26.15,San Antonio,TX,,85311,$43.50,Glendale,AZ,,,77026,$19.80,Houston,TX
78208,$26.15,San Antonio,TX,,85312,$43.50,Glendale,AZ,,,77028,$19.80,Houston,TX
78216,$26.15,San Antonio,TX,,85318,$43.50,Glendale,AZ,,,77029,$19.80,Houston,TX
78218,$26.15,San Antonio,TX,,85339,$43.50,Laveen,AZ,,,77032,$19.80,Houston,TX
78228,$26.15,San Antonio,TX,,85345,$43.50,Peoria,AZ,,,77039,$19.80,Houston,TX
78232,$26.15,San Antonio,TX,,85353,$43.50,Tolleson,AZ,,,77050,$19.80,Houston,TX
78233,$26.15,San Antonio,TX,,85380,$43.50,Surprise,AZ,,,77078,$19.80,Houston,TX
78234,$26.15,Jbsa Ft Sam Houston,TX,,85381,$43.50,Peoria,AZ,,,77087,$19.80,Houston,TX
78239,$26.15,San Antonio,TX,,85385,$43.50,Peoria,AZ,,,77093,$19.80,Houston,TX
78240,$26.15,San Antonio,TX,,85117,$40.50,New River,AZ,,,77396,$19.80,Humble,TX
78245,$26.15,San Antonio,TX,,85119,$40.50,Apache Junction,AZ,,,77502,$19.80,Pasadena,TX
78247,$26.15,San Antonio,TX,,85120,$40.50,Apache Junction,AZ,,,77506,$19.80,Pasadena,TX
78249,$26.15,San Antonio,TX,,85121,$40.50,Bapchule,AZ,,,77547,$19.80,Galena Park,TX
78250,$26.15,San Antonio,TX,,85128,$40.50,Coolidge,AZ,,,77060,$19.80,Houston,TX
78258,$26.15,San Antonio,TX,,85138,$40.50,Maricopa,AZ,,,77073,$19.80,Houston,TX
78260,$26.15,San Antonio,TX,,85139,$40.50,Maricopa,AZ,,,90046,$19.25,Los Angeles,CA
78264,$26.15,San Antonio,TX,,85147,$40.50,Sacaton,AZ,,,90049,$19.25,Los Angeles,CA
78666,$26.15,San Marcos,TX,,85178,$40.50,Superior,AZ,,,90068,$19.25,Los Angeles,CA
01451,$25.20,Harvard,MA,,85191,$40.50,Valley Farms,AZ,,,90077,$19.25,Los Angeles,CA
01749,$25.20,Hudson,MA,,01701,$12.00,Framingham,MA,,,90210,$19.25,Beverly Hills,CA
01801,$25.20,Woburn,MA,,01702,$12.00,Framingham,MA,,,91001,$19.25,Altadena,CA
01810,$25.20,Andover,MA,,01721,$12.00,Ashland,MA,,,91006,$19.25,Arcadia,CA
01830,$25.20,Haverhill,MA,,01745,$12.00,Fayville,MA,,,91007,$19.25,Arcadia,CA
01841,$25.20,Lawrence,MA,,01746,$12.00,Holliston,MA,,,91008,$19.25,Duarte,CA
01851,$25.20,Lowell,MA,,01748,$12.00,Hopkinton,MA,,,91010,$19.25,Duarte,CA
01852,$25.20,Lowell,MA,,01752,$12.00,Marlborough,MA,,,91011,$19.25,La Canada Flintridge,CA
01880,$25.20,Wakefield,MA,,01760,$12.00,Natick,MA,,,91016,$19.25,Monrovia,CA
01902,$25.20,Lynn,MA,,01770,$12.00,Sherborn,MA,,,91020,$19.25,Montrose,CA
01906,$25.20,Saugus,MA,,01772,$12.00,Southborough,MA,,,91024,$19.25,Sierra Madre,CA
01915,$25.20,Beverly,MA,,01778,$12.00,Wayland,MA,,,91040,$19.25,Sunland,CA
01938,$25.20,Ipswich,MA,,02021,$12.00,Canton,MA,,,91101,$19.25,Pasadena,CA
