Zip Code,CPL Payouts,city,state_id
19020,,Bensalem,PA
19030,,Fairless Hills,PA
19047,,Langhorne,PA
19054,,Levittown,PA
19055,,Levittown,PA
19056,,Levittown,PA
19057,,Levittown,PA
19067,,Morrisville,PA
24113,,Martinsville,VA
24114,,Martinsville,VA
24115,,Martinsville,VA
27006,,Advance,NC
27007,,Ararat,NC
27014,,Cooleemee,NC
27016,,Danbury,NC
27018,,East Bend,NC
27019,,Germanton,NC
27021,,King,NC
27022,,Lawsonville,NC
27025,,Madison,NC
27027,,Mayodan,NC
27028,,Mocksville,NC
27030,,Mount Airy,NC
27031,,Mount Airy,NC
27041,,Pilot Mountain,NC
27042,,Pine Hall,NC
27043,,Pinnacle,NC
27046,,Sandy Ridge,NC
27047,,Siloam,NC
27048,,Stoneville,NC
27049,,Stoneville,NC
27052,,Walnut Cove,NC
27053,,Westfield,NC
27055,,Yadkinville,NC
27212,,Blanch,NC
27214,,Browns Summit,NC
27235,,Colfax,NC
27249,,Gibsonville,NC
27260,,High Point,NC
27261,,High Point,NC
27262,,High Point,NC
27263,,High Point,NC
27264,,High Point,NC
27265,,High Point,NC
27268,,High Point,NC
27282,$82.00,Jamestown,NC
27283,$82.00,Julian,NC
27288,$82.00,Eden,NC
27289,$82.00,Eden,NC
27293,$82.00,Lexington,NC
27294,$82.00,Lexington,NC
27295,$82.00,Lexington,NC
27301,$82.00,McLeansville,NC
27310,$82.00,Oak Ridge,NC
27311,$82.00,Pelham,NC
27313,$82.00,Pleasant Garden,NC
27314,$82.00,Prospect Hill,NC
27315,$82.00,Providence,NC
27320,$82.00,Reidsville,NC
27323,$82.00,Reidsville,NC
27326,$82.00,Ruffin,NC
27342,$82.00,Sedalia,NC
27357,$82.00,Stokesdale,NC
27358,$82.00,Summerfield,NC
27360,$82.00,Thomasville,NC
27361,$82.00,Thomasville,NC
27373,$82.00,Troy,NC
27374,$82.00,Welcome,NC
27375,$82.00,Welcome,NC
27377,$82.00,Whitsett,NC
27379,$82.00,Yanceyville,NC
27401,$82.00,Greensboro,NC
27402,$82.00,Greensboro,NC
27403,$82.00,Greensboro,NC
27404,$82.00,Greensboro,NC
27405,$82.00,Greensboro,NC
27406,$82.00,Greensboro,NC
27407,$82.00,Greensboro,NC
27408,$82.00,Greensboro,NC
27409,$82.00,Greensboro,NC
27410,$82.00,Greensboro,NC
27411,$82.00,Greensboro,NC
27412,$82.00,Greensboro,NC
27413,$82.00,Greensboro,NC
27415,$82.00,Greensboro,NC
27416,$82.00,Greensboro,NC
27417,,Greensboro,NC
27419,,Greensboro,NC
27420,,Greensboro,NC
27425,$82.00,Greensboro,NC
