Zip Code,CPL Buyer Payouts,city,state_id,,ZIP Code,Duration Buyer Payouts,City,State
85082,$159.50,Phoenix,AZ,,33309,$99.75,Fort Lauderdale,FL
85083,$159.50,Phoenix,AZ,,33316,$99.75,Fort Lauderdale,FL
85085,$159.50,Phoenix,AZ,,33317,$99.75,Fort Lauderdale,FL
85086,$159.50,Phoenix,AZ,,33322,$99.75,Fort Lauderdale,FL
85087,$159.50,New River,AZ,,33324,$99.75,Fort Lauderdale,FL
85097,$159.50,New River,AZ,,33325,$99.75,Fort Lauderdale,FL
85098,$159.50,New River,AZ,,33326,$99.75,Fort Lauderdale,FL
85127,$159.50,Arizona City,AZ,,33328,$99.75,Fort Lauderdale,FL
85140,$159.50,San Tan Valley,AZ,,33330,$99.75,Fort Lauderdale,FL
85142,$159.50,Queen Creek,AZ,,33331,$99.75,Fort Lauderdale,FL
85143,$159.50,San Tan Valley,AZ,,33351,$99.75,Fort Lauderdale,FL
85190,$159.50,Superior,AZ,,33408,$99.75,North Palm Beach,FL
85201,$159.50,Mesa,AZ,,33410,$99.75,Palm Beach Gardens,FL
85202,$159.50,Mesa,AZ,,33418,$99.75,Palm Beach Gardens,FL
85203,$159.50,Mesa,AZ,,33426,$99.75,Boynton Beach,FL
85204,$159.50,Mesa,AZ,,33430,$99.75,Belle Glade,FL
85205,$159.50,Mesa,AZ,,33431,$99.75,Boca Raton,FL
85206,$159.50,Mesa,AZ,,33432,$99.75,Boca Raton,FL
85207,$159.50,Mesa,AZ,,33433,$99.75,Boca Raton,FL
85208,$159.50,Mesa,AZ,,33436,$99.75,Boynton Beach,FL
85209,$159.50,Mesa,AZ,,33437,$99.75,Boynton Beach,FL
85210,$159.50,Mesa,AZ,,33445,$99.75,Delray Beach,FL
85211,$159.50,Mesa,AZ,,33446,$99.75,Delray Beach,FL
85212,$159.50,Mesa,AZ,,33467,$99.75,Lake Worth,FL
85213,$159.50,Mesa,AZ,,33480,$99.75,Palm Beach,FL
85214,$159.50,Mesa,AZ,,33486,$99.75,Boca Raton,FL
85215,$159.50,Mesa,AZ,,33496,$99.75,Boca Raton,FL
85216,$159.50,Mesa,AZ,,33511,$99.75,Brandon,FL
85224,$159.50,Chandler,AZ,,33565,$99.75,Plant City,FL
85225,$159.50,Chandler,AZ,,33566,$99.75,Plant City,FL
